Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
    (1.296742, 'C') :  0.05 : 0.129587336814876 :   1.0 : False : False : NonNegativeReals
    (1.296742, 'D') :   0.0 : 1.740825326370214 :   1.9 : False : False : NonNegativeReals
        (1.35, 'B') :  0.05 : 0.121050889793453 :   1.0 : False : False : NonNegativeReals
        (1.35, 'C') :  0.05 : 0.121050889793453 :   1.0 : False : False : NonNegativeReals
        (1.35, 'D') :   0.0 : 1.757898220413057 :   1.9 : False : False : NonNegativeReals
    (1.373258, 'B') :  0.05 : 0.117624995809249 :   1.0 : False : False : NonNegativeReals
    (1.373258, 'C') :  0.05 :  0.11762499580925 :   1.0 : False : False : NonNegativeReals
    (1.373258, 'D') :   0.0 : 1.764750008381464 :   1.9 : False : False : NonNegativeReals
    (1.446742, 'B') :  0.05 : 0.107819249559511 :   1.0 : False : False : NonNegativeReals
    (1.446742, 'C') :  0.05 : 0.107819249559511 :   1.0 : False : False : NonNegativeReals
    (1.446742, 'D') :   0.0 :  1.78436150088094 :   1.9 : False : False : NonNegativeReals
         (1.5, 'B') :  0.05 : 0.101570154182298 :   1.0 : False : False : NonNegativeReals
         (1.5, 'C') :  0.05 : 0.101570154182298 :   1.0 : False : False : NonNegativeReals
         (1.5, 'D') :   0.0 : 1.796859691635364 :   1.9 : False : False : NonNegativeReals
    (1.523258, 'B') :  0.05 : 0.099040763756722 :   1.0 : False : False : NonNegativeReals
    (1.523258, 'C') :  0.05 : 0.099040763756722 :   1.0 : False : False : NonNegativeReals
    (1.523258, 'D') :   0.0 : 1.801918472486516 :   1.9 : False : False : NonNegativeReals
    (1.596742, 'B') :  0.05 : 0.091755327958767 :   1.0 : False : False : NonNegativeReals
    (1.596742, 'C') :  0.05 : 0.091755327958768 :   1.0 : False : False : NonNegativeReals
    (1.596742, 'D') :   0.0 : 1.816489344082423 :   1.9 : False : False : NonNegativeReals
        (1.65, 'B') :  0.05 : 0.087067292420442 :   1.0 : False : False : NonNegativeReals
        (1.65, 'C') :  0.05 : 0.087067292420442 :   1.0 : False : False : NonNegativeReals
        (1.65, 'D') :   0.0 : 1.825865415159071 :   1.9 : False : False : NonNegativeReals
    (1.673258, 'B') :  0.05 : 0.085160182401602 :   1.0 : False : False : NonNegativeReals
    (1.673258, 'C') :  0.05 : 0.085160182401602 :   1.0 : False : False : NonNegativeReals
    (1.673258, 'D') :   0.0 : 1.829679635196752 :   1.9 : False : False : NonNegativeReals
    (1.746742, 'B') :  0.05 : 0.079593500695961 :   1.0 : False : False : NonNegativeReals
    (1.746742, 'C') :  0.05 : 0.079593500695961 :   1.0 : False : False : NonNegativeReals
    (1.746742, 'D') :   0.0 : 1.840812998608032 :   1.9 : False : False : NonNegativeReals
         (1.8, 'B') :  0.05 : 0.075964853470786 :   1.0 : False : False : NonNegativeReals
         (1.8, 'C') :  0.05 : 0.075964853470786 :   1.0 : False : False : NonNegativeReals
         (1.8, 'D') :   0.0 :  1.84807029305838 :   1.9 : False : False : NonNegativeReals
    (1.823258, 'B') :  0.05 : 0.074481216236089 :   1.0 : False : False : NonNegativeReals
    (1.823258, 'C') :  0.05 : 0.074481216236089 :   1.0 : False : False : NonNegativeReals
    (1.823258, 'D') :   0.0 : 1.851037567527773 :   1.9 : False : False : NonNegativeReals
    (1.896742, 'B') :  0.05 : 0.070183592494538 :   1.0 : False : False : NonNegativeReals
    (1.896742, 'C') :  0.05 : 0.070183592494538 :   1.0 : False : False : NonNegativeReals
    (1.896742, 'D') :   0.0 : 1.859632815010874 :   1.9 : False : False : NonNegativeReals
        (1.95, 'B') :  0.05 : 0.067399158016908 :   1.0 : False : False : NonNegativeReals
        (1.95, 'C') :  0.05 : 0.067399158016908 :   1.0 : False : False : NonNegativeReals
