X : 1 if unit j processes task i starting at time t
    Size=455, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
        ('R3', 'R_large', 1) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 2) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 3) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 4) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 5) :     0 :   1.0 :     1 : False : False : Binary
        ('R3', 'R_large', 6) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 7) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 8) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_large', 9) :     0 :   0.0 :     1 : False : False : Binary
       ('R3', 'R_large', 10) :     0 :   0.0 :     1 : False : False : Binary
       ('R3', 'R_large', 11) :     0 :   0.0 :     1 : False : False : Binary
       ('R3', 'R_large', 12) :     0 :   0.0 :     1 : False : False : Binary
        ('R3', 'R_small', 0) :     0 :   0.0 :     1 : False : False : Binary
