rho_minus : Fraction of material in state k consumed by task i 
    Size=1125, Index=rho_minus_index
    Key              : Lower : Value             : Upper : Fixed : Stale : Domain
     ('T1', 'S6', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S6', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S7', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S7', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S8', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S8', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S9', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S9', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
