X : 1 if unit j processes task i starting at time t
    Size=3955, Index=X_index
    Key                       : Lower : Value : Upper : Fixed : Stale : Domain
          ('Mix', 'Pack', 45) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 46) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 47) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 48) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 49) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 50) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 51) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 52) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 53) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 54) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 55) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 56) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 57) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 58) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 59) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 60) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 61) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 62) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 63) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 64) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 65) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 66) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 67) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 68) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 69) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 70) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 71) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 72) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 73) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 74) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 75) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 76) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 77) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 78) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 79) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 80) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 81) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 82) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 83) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 84) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 85) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 86) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 87) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 88) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 89) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 90) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 91) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 92) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 93) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 94) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 95) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 96) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 97) :     0 :     0 :     1 : False : False : Binary
